No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"2.5","img-011","Trường Đơn giá","単価 (JPY)","Unit price input","text_form","number_input",,"integer","true","<số nguyên JPY> — không có phần thập phân",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: JPY không có phần thập phân nên chỉ nhận số nguyên.
Điều kiện: giá đã thống nhất giữa hai bên — màn không tính giá hộ.","Mục đích và ngữ cảnh: đơn giá đã thống nhất giữa hai bên — một trong bốn trường FR-AITAI-01 đòi
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập số nguyên; và một dòng chú thích nói rõ JPY không có phần thập phân
Chức năng và logic: chỉ nhận số nguyên JPY; màn không suy ra giá từ nguồn nào khác — giá là kết quả thoả thuận ngoài hệ thống",,,"transaction","unit_price","Đơn giá của giao dịch trong miền D-TRADE. Đơn vị JPY và không có phần thập phân là ràng buộc dữ liệu.","- Ô nhập có tự định dạng nhóm nghìn khi gõ như giá trị 1 800 trong ảnh hay chỉ nhận số trần?
- Có cần hiện tổng tiền tạm tính bằng số lượng nhân đơn giá để người nhập soát lại trước khi gửi không? Thiết kế không đòi.
- Có ngưỡng trên nào cho đơn giá cần cảnh báo nhập sai không? Thiết kế không khai."
"2.6","img-012","Nút Tạo nháp",,"Create draft button","button","primary_action","text_only",,,,,,,"Điều kiện: cả bốn trường bắt buộc phải có giá trị.
Điều kiện: khi đang gửi thì khoá form và chặn gửi trùng.
Điều kiện: ngày nghiệp vụ chưa lock — FR-CORR-03 (RFP:658) và BR-CLOSE-01 (RFP:597) không cho ghi vào ngày đã lock.
Lỗi: ""Ngày nghiệp vụ <ngày> đã lock; không thể ghi bản ghi mới."" — mọi lần thử đều bị chặn và có log.","Mục đích và ngữ cảnh: tạo bản ghi giao dịch ở chặng đầu của vòng đời để giữ dấu vết trước khi chốt
Thành phần hiển thị: một nút chính nhãn chữ
Chức năng và logic: gửi bốn trường của khối; hệ thống gán mã giao dịch — ngày nghiệp vụ — trạng thái đầu và kênh; ghi logical audit theo FR-AUDIT-01 (RFP:710) với chủ thể và timestamp","on_click","Tạo một bản ghi giao dịch ở trạng thái Nháp · 下書き — giá trị đầu của vòng đời FIG-012. Không trừ số lượng khả dụng và không kiểm hiệu lực người mua ở bước này.","transaction","lot_id; buyer_participant_id; qty; unit_price; txn_code; business_date; status","Ghi một bản ghi mới vào thực thể giao dịch của D-TRADE: bốn cột đầu lấy từ form; ba cột sau do hệ thống gán. Kèm một bản ghi audit của miền truy vết (FR-AUDIT-01).","- Sau khi tạo nháp thành công màn ở lại form hay điều hướng sang chi tiết giao dịch ở SC-12? Thiết kế không khai.
- Bốn trường có được giữ lại giá trị vừa nhập khi gửi thất bại không? Thiết kế không khai.
- Thứ tự Tab và phím Enter có gửi form được không? NFR-USE-01 (RFP:816) đòi luồng chốt giao dịch dùng được bằng bàn phím nhưng màn chưa khai thứ tự Tab."
"2.7","img-013","Nút Tạo nháp và gửi xác nhận",,"Create draft and submit button","button","secondary_action","text_only",,,,,,,"Điều kiện: giống nút Tạo nháp về bốn trường bắt buộc và về ngày nghiệp vụ chưa lock.
Điều kiện: chỉ có nghĩa nếu vòng đời thật sự có chặng Chờ xác nhận — FIG-012 (RFP:637) có chặng này nhưng FR-AITAI-01 (RFP:650); FR-AITAI-02 (RFP:651); FE-014 và FE-015 không nhắc bước phê duyệt nào.","Mục đích và ngữ cảnh: gộp tạo bản ghi với sự kiện gửi của FIG-012 để bản ghi đi thẳng vào hàng chờ xác nhận
Thành phần hiển thị: một nút phụ nhãn chữ đặt cạnh nút chính
Chức năng và logic: chỉ tồn tại khi khách chốt là vòng đời có bước phê duyệt — thẻ ghi chú bên cạnh nói rõ nút này phụ thuộc mục [CHƯA CHỐT] của khối vòng đời","on_click","Tạo bản ghi rồi phát sự kiện gửi của FIG-012 để chuyển Nháp · 下書き sang Chờ xác nhận. Cạnh này phụ thuộc mục [CHƯA CHỐT] ở khối vòng đời.","transaction","status","Đặt trạng thái sang Chờ xác nhận của FIG-012. Giá trị này CHƯA TỒN TẠI trong ràng buộc trạng thái hiện có của thực thể giao dịch — thiết kế đòi thêm giá trị vào tập hợp lệ.","- Nút này chỉ có nghĩa nếu khách chốt là có bước phê duyệt — nếu khách chốt là không thì nút bỏ hay giữ?
- Nếu có bước phê duyệt thì vai nào được duyệt? TBL-ROLE-01 (RFP:245) chưa có vai nào ghi trách nhiệm này.
- Có SLA duyệt không? Luồng gánh ~90% giá trị giao dịch nên chờ duyệt quá lâu là rủi ro vận hành."
"2.8","img-014","Thẻ ghi chú phụ thuộc mục chưa chốt",,"Open decision dependency tag","label","note_tag",,,,,,,,,"Mục đích và ngữ cảnh: cảnh báo ngay tại chỗ rằng nút thứ hai chưa được chốt về phạm vi
Thành phần hiển thị: một thẻ chữ nhỏ với chữ ""nút thứ hai phụ thuộc mục [CHƯA CHỐT] ở khối vòng đời""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"3","img-015","Khối trường hệ thống gán",,"System-assigned field section","others","readonly_section",,,,,,,,,"Mục đích và ngữ cảnh: bốn giá trị hệ thống tự quyết — nêu tường minh để người vận hành không đi tìm chỗ nhập
Thành phần hiển thị: tiêu đề khối và bốn trường chỉ đọc xếp một hàng: mã giao dịch; ngày nghiệp vụ; trạng thái; kênh
Chức năng và logic: chỉ hiển thị — không nhận giá trị từ người dùng ở bất kỳ trường nào trong khối",,,"transaction",,"Bốn cột do hệ thống gán trên thực thể giao dịch của miền D-TRADE (RFP:604).",
"3.1","img-016","Tiêu đề khối hệ thống gán",,"System-assigned section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nói rõ ranh giới giữa phần người nhập và phần hệ thống quyết
Thành phần hiển thị: một dòng tiêu đề ""Hệ thống gán — không nhập tay""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"3.2","img-017","Trường Mã giao dịch (chỉ đọc)","取引番号","Transaction code (read-only)","label","readonly_field",,,,"TXN-<NNNN>",,,,,"Mục đích và ngữ cảnh: mã định danh nghiệp vụ của giao dịch — nghiệm thu FR-AITAI-01 (RFP:650) đòi mã duy nhất
Thành phần hiển thị: nhãn tiếng Việt kèm 取引番号; một ô chỉ đọc hiện mã; và một dòng chú thích
Chức năng và logic: hệ thống cấp mã và bảo đảm tính duy nhất; cách cấp và định dạng mã thuộc spec BE chứ không thuộc màn",,,"transaction","txn_code","Mã giao dịch của miền D-TRADE. Tính duy nhất là ràng buộc dữ liệu vì nghiệm thu FR-AITAI-01 đòi mã duy nhất.","- Người vận hành có cần đọc mã giao dịch ngay sau khi tạo nháp để nói lại cho khách không? Thiết kế không khai nơi mã xuất hiện sau khi gửi.
- Mã có cần sao chép được bằng một thao tác không? Ảnh chỉ hiện một ô chỉ đọc."
"3.3","img-018","Trường Ngày nghiệp vụ (chỉ đọc)","業務日","Business date (read-only)","label","readonly_field",,,,"YYYY-MM-DD",,,,,"Mục đích và ngữ cảnh: ngày nghiệp vụ mà giao dịch thuộc về — đơn vị của kỳ đối chiếu FR-SETTLE-01 (RFP:659) và của lock FR-SETTLE-02 (RFP:660)
Thành phần hiển thị: nhãn tiếng Việt kèm 業務日; một ô chỉ đọc hiện ngày; và một dòng chú thích mang nhãn [CHƯA CHỐT]
Chức năng và logic: hệ thống gán ngày nghiệp vụ đang mở; thiết kế chưa khai có được nhập bù cho một ngày khác không nên trường vẫn ở dạng chỉ đọc",,,"transaction","business_date","Ngày nghiệp vụ của bản ghi trong miền D-TRADE — cũng là khoá đối chiếu với miền D-SETTLE (RFP:606) khi lock kỳ.","- Ngày nghiệp vụ có được nhập bù cho một ngày khác không? Thiết kế ghi [CHƯA CHỐT]; câu trả lời đổi kỳ đối chiếu của FR-SETTLE-01 và cách lock ứng xử theo FR-CORR-03.
- Nếu cho nhập bù thì trường đổi thành ô nhập ngày và cần cửa kiểm ngày đã lock ngay tại trường — có đúng không?
- Người dùng làm việc ngoài JST có cần chú thích rằng ngày nghiệp vụ tính theo JST không? BR-INC-01 (RFP:598) dùng JST cho ngày nghiệp vụ."
"3.4","img-019","Trường Trạng thái (chỉ đọc)","状態","Status (read-only)","label","readonly_field",,,,"Nháp · 下書き | Chờ xác nhận | Đã chốt | Hủy / Đính chính",,,"Nháp · 下書き",,"Mục đích và ngữ cảnh: chặng hiện tại của bản ghi trong vòng đời FIG-012 (RFP:637)
Thành phần hiển thị: nhãn tiếng Việt kèm 状態; một ô chỉ đọc hiện chặng đầu Nháp · 下書き; và một dòng chú thích trỏ sang khối vòng đời
Chức năng và logic: giá trị đầu luôn là Nháp · 下書き; các chặng còn lại đổi qua sự kiện của FIG-012 chứ không sửa trực tiếp được",,,"transaction","status","Trạng thái của thực thể giao dịch trong D-TRADE. Tập giá trị thiết kế đòi là bốn chặng của FIG-012; giá trị Chờ xác nhận CHƯA TỒN TẠI trong ràng buộc trạng thái hiện có.","- Nhãn hiển thị của các chặng dùng tiếng Việt kèm tiếng Nhật như ảnh hay chỉ một thứ tiếng?
- Chặng ""Hủy / Đính chính"" của FIG-012 gộp hai nghĩa khác nhau — trên màn có tách thành hai nhãn không?"
"3.5","img-020","Trường Kênh giao dịch (chỉ đọc)","取引区分","Trade channel (read-only)","label","readonly_field",,,,"相対取引",,,"相対取引",,"Mục đích và ngữ cảnh: cho biết bản ghi thuộc kênh 相対取引 — kênh chính chiếm phần lớn giá trị giao dịch của chợ
Thành phần hiển thị: nhãn tiếng Việt kèm 取引区分; một ô chỉ đọc hiện 相対取引; và một dòng chú thích trỏ kênh せり sang SC-13
Chức năng và logic: màn này chỉ tạo bản ghi kênh 相対取引; FIG-012 phủ cả hai kênh nên vòng đời dùng chung với bản ghi せり",,,"transaction","type","Thuộc tính kênh của bản ghi giao dịch trong D-TRADE. Sắc thái: cột kênh hiện có bị ghim đúng một giá trị 相対取引 nên không phân biệt được hai kênh — bản ghi せり nằm ở một thực thể riêng.","- Trường chỉ có một giá trị trên màn này — có cần giữ trên UI để người vận hành đọc hay bỏ đi?
- Ở các màn tra cứu và báo cáo gộp hai kênh (RPT-11 theo loại giao dịch) thì kênh hiện bằng nhãn nào?"
"4","img-021","Khối vòng đời bản ghi giao dịch",,"Transaction lifecycle section","others","lifecycle_section",,,,,,,,,"Mục đích và ngữ cảnh: khai vòng đời FIG-012 (RFP:637) mà bản ghi giao dịch phải đi theo — cũng là tập trạng thái thuộc đối tượng kiểm toán
Thành phần hiển thị: tiêu đề khối; một bảng bốn cột liệt kê từng cạnh chuyển trạng thái; và một khối ghi chú [CHƯA CHỐT]
Chức năng và logic: chỉ hiển thị — là hợp đồng trạng thái cho các thao tác đặt ở SC-12",,,"transaction","status","Vòng đời của thực thể giao dịch trong D-TRADE. FIG-012 phủ cả 相対取引 và せり nên cùng một vòng đời áp cho hai kênh.",
"4.1","img-022","Tiêu đề khối vòng đời",,"Lifecycle section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: định vị nguồn của vòng đời — dẫn thẳng số hình và số dòng RFP
Thành phần hiển thị: một dòng tiêu đề ""Vòng đời bản ghi giao dịch — FIG-012 (RFP:637)""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"4.2","img-023","Bảng chuyển trạng thái FIG-012","状態遷移","FIG-012 transition table","table","transition_table",,,,,,,,,"Mục đích và ngữ cảnh: liệt kê đủ năm cạnh chuyển trạng thái của FIG-012 kèm ghi chú thiết kế cho từng cạnh
Thành phần hiển thị: bảng bốn cột: Từ trạng thái; Sự kiện; Tới trạng thái; Ghi chú thiết kế — năm dòng và ba thẻ [CHƯA CHỐT] gắn vào chặng Chờ xác nhận
Chức năng và logic: mọi cặp trạng thái và sự kiện ngoài bảng là chuyển trạng thái không hợp lệ; các cạnh sau khi chốt đi qua yêu cầu điều chỉnh ở SC-20 và phê duyệt ở SC-21 chứ không sửa trực tiếp",,,"transaction","status","Tập trạng thái hợp lệ của D-TRADE theo FIG-012. Giá trị Chờ xác nhận chưa có trong ràng buộc trạng thái hiện có nên thiết kế đòi mở rộng tập giá trị nếu khách chốt là có bước duyệt.","- Chặng Chờ xác nhận có thật không? FIG-012 (RFP:637) có bước phê duyệt nhưng FR-AITAI-01 (RFP:650) và FR-AITAI-02 (RFP:651) chỉ đòi từ chối tự động theo điều kiện.
- Nếu có bước phê duyệt thì vai nào duyệt và có đòi người duyệt khác người tạo không? TBL-ROLE-01 (RFP:245) chưa giao trách nhiệm này cho vai nào.
- Cạnh từ chối quay về Nháp có cần trường lý do từ chối không? FIG-012 chỉ vẽ cạnh mà không nói dữ liệu kèm theo."
"4.3","img-024","Ghi chú tài liệu khách tự chống nhau",,"Conflicting requirement note","label","open_decision_note",,,,,,,,,"Mục đích và ngữ cảnh: khai thẳng chỗ tài liệu khách tự chống nhau để không ai chọn hộ khách khi thiết kế API
Thành phần hiển thị: một khối ghi chú nền nhạt mở đầu bằng [CHƯA CHỐT] — nêu hai phía của mâu thuẫn và ba hệ quả nếu có bước duyệt
Chức năng và logic: văn bản tĩnh — chặn việc thiết kế API trước khi khách chốt vì luồng này gánh phần lớn giá trị giao dịch",,,,,,"- Hai cửa kiểm của khối kế tiếp đánh giá lúc gửi; lúc phê duyệt; hay cả hai lần? Ghi chú nêu rõ đây là điểm chưa rõ.
- Nếu có bước duyệt thì cần một màn hàng đợi việc chờ duyệt — màn đó chưa có mã SC- nào trong danh sách màn hiện tại."
"5","img-025","Khối hai cửa kiểm khi chốt",,"Confirm-time gate section","others","rule_section",,,,,,,,,"Mục đích và ngữ cảnh: khai hai cửa kiểm mà FE-015 và FR-AITAI-02 (RFP:651) đòi trước khi một giao dịch được chốt
Thành phần hiển thị: tiêu đề khối; một bảng bốn cột cho hai cửa kiểm; và một khối ghi chú về nghiệm thu và tải cao điểm
Chức năng và logic: chỉ hiển thị — là hợp đồng từ chối cho thao tác chốt đặt ở SC-12",,,"participant; lot",,"Cửa thứ nhất đọc hiệu lực của thực thể người tham gia (D-PARTY); cửa thứ hai đọc số lượng khả dụng của thực thể lô hàng (D-LOT).",
"5.1","img-026","Tiêu đề khối hai cửa kiểm",,"Gate section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: định vị nguồn của hai cửa kiểm theo mã tính năng và mã yêu cầu
Thành phần hiển thị: một dòng tiêu đề ""Hai cửa kiểm khi chốt — FE-015 · FR-AITAI-02""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"5.2","img-027","Bảng hai cửa kiểm và lý do từ chối",,"Gate and rejection reason table","table","rule_table",,,,,,,,"Điều kiện: 買出人 phải còn hiệu lực 許可/承認 tại thời điểm chốt giao dịch — FR-PARTY-02 (RFP:630); BR-PERM-01 (RFP:595); FE-007.
Lỗi: ""Người tham gia A đã mất hiệu lực từ 2026-09-01; không thể chốt giao dịch."" — không chốt giao dịch.
Điều kiện: số lượng khả dụng của lô phải đủ cho số lượng của giao dịch — FR-LOT-03 (RFP:634); BR-LOT-02 (RFP:596).
Lỗi: ""LOT-0001 chỉ còn 80;00 khả dụng; giao dịch cần 120;00."" — số lượng khả dụng không bao giờ âm.","Mục đích và ngữ cảnh: hai lý do từ chối phải phân biệt được trên màn — nghiệm thu FR-AITAI-02 đòi hiển thị lý do và không tạo giao dịch
Thành phần hiển thị: bảng bốn cột: Cửa kiểm; Yêu cầu nguồn; Thời điểm đánh giá; Màn phải hiển thị khi không thoả — hai dòng kèm câu lý do mẫu viết bằng tiếng người
Chức năng và logic: cửa hiệu lực đánh giá tại thời điểm chốt chứ không tại lúc tạo nháp và cũng không theo ngày nghiệp vụ; cửa số lượng đánh giá trước khi cho phép chốt; một thông báo chung cho cả hai cửa là không thoả nghiệm thu",,,"participant; lot","status; valid_from; valid_to; available_qty","Cửa hiệu lực đọc trạng thái và khoảng hiệu lực của người tham gia (D-PARTY). Cửa số lượng đọc và trừ số lượng khả dụng của lô hàng (D-LOT) — BR-LOT-02 đòi giá trị này không âm.","- Hai cửa kiểm đánh giá lúc gửi; lúc phê duyệt; hay cả hai lần? Thiết kế chưa khai và câu trả lời đổi hành vi màn.
- Khi bị từ chối vì thiếu số lượng thì màn có cho sửa số lượng của bản ghi rồi chốt lại hay phải hủy và tạo bản ghi mới?
- Hai lý do hiện tại chỗ nào — một vùng thông báo chung của màn hay ngay tại trường liên quan? Ảnh chỉ khai nội dung câu chứ không khai vị trí."
"5.3","img-028","Ghi chú nghiệm thu và tải cao điểm",,"Acceptance and peak-load note","label","rule_note",,,,,,,,,"Mục đích và ngữ cảnh: nhắc hai điều dễ mất: nghiệm thu đòi hai lý do phân biệt được và hai cửa này nằm trên đường nóng nhất của hệ thống
Thành phần hiển thị: một khối ghi chú nêu nghiệm thu FR-AITAI-02 và profile tải FIG-LOAD-01 (RFP:829) với 1.200 giao dịch/ngày; 600 lô/ngày; 60 người dùng đồng thời ở ngày cao điểm
Chức năng và logic: văn bản tĩnh — cơ chế chống trừ số lượng hai lần thuộc spec BE chứ không thuộc màn",,,,,,"- NFR-PERF-02 (RFP:808) đòi không làm chậm tác vụ giao dịch cốt lõi ở ngày cao điểm — có ngưỡng thời gian phản hồi riêng cho thao tác chốt không? NFR-PERF-01 (RFP:807) chỉ đặt ngưỡng cho tìm kiếm.
- Khi hai người chốt cùng một lô gần như đồng thời thì màn của người thua hiện lý do gì? Ảnh chỉ khai hai lý do nghiệp vụ."
"6","img-029","Khối trạng thái màn",,"Screen states section","others","states_section",,,,,,,,,"Mục đích và ngữ cảnh: liệt kê đủ các trạng thái màn phải phủ để không sót nhánh nào khi thi công
Thành phần hiển thị: tiêu đề khối và một lưới bảy thẻ trạng thái
Chức năng và logic: chỉ hiển thị — mỗi thẻ là một nhánh hiển thị mà màn phải có",,,,,,
"6.1","img-030","Tiêu đề khối trạng thái màn",,"Screen states section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: mở đầu khối liệt kê trạng thái màn
Thành phần hiển thị: một dòng tiêu đề ""Trạng thái màn""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
